abstract,title,author,year,label
1,0.94,0.96,0.75,1
1,0.94,0.95,1,1
1,0.94,0.92,1,1
1,0.94,0.9,1,1
1,0.94,0.87,1,1
1,0.94,0.83,1,1
1,0.94,0.8,1,1
1,0.94,0.1,1,1
1,0.94,0,1,1
1,0.93,0.95,1,1
1,0.93,0.5,1,1
1,0.93,0.2,1,1
1,0.92,0.98,1,1
1,0.92,0.96,1,1
1,0.92,0.95,1,1
1,0.92,0.94,1,1
1,0.92,0.83,1,1
1,0.92,0.8,1,1
1,0.92,1,0.75,1
1,0.92,0.67,1,1
1,0.92,0.3,1,1
1,0.92,0,1,1
1,0.91,0.98,1,1
1,0.91,0.96,1,1
1,0.91,0.62,1,1
1,0.91,0.3,1,1
1,0.9,1,0.5,1
1,0.9,0.88,1,1
1,0.89,1,0.75,1
1,0.89,1,0,1
1,0.89,0.71,1,1
1,0.88,1,0.75,1
1,0.88,0.15,1,1
1,0.86,1,1,1
1,0.83,1,1,1
1,0.82,0.5,0.5,0
1,0.81,1,1,1
1,0.8,1,0.75,1
1,0.78,1,1,1
1,0.77,0.2,1,1
1,0.75,1,1,1
1,0.74,0.89,1,1
1,0.7,1,1,1
1,0.62,1,1,1
0.99,1,1,0.75,1
0.99,1,0.15,1,1
0.99,0.99,1,1,1
0.99,0.99,1,0.5,1
0.99,0.98,1,0.75,1
0.99,0.98,0.97,1,1
0.99,0.98,0.93,1,1
0.99,0.98,0.92,1,1
0.99,0.98,0.67,1,1
0.99,0.97,1,0.75,1
0.99,0.97,0.96,1,1
0.99,0.97,0.88,1,1
0.99,0.96,0.62,1,1
0.99,0.93,1,0.75,1
0.99,0.93,0.91,1,1
0.99,0.92,1,1,1
0.99,0.92,0.93,1,1
0.99,0.91,1,1,1
0.99,0.91,0.99,1,1
0.99,0.9,1,0.75,1
0.99,0.9,0.99,1,1
0.99,0.9,0.97,1,1
0.99,0.9,0.96,1,1
0.99,0.9,0.93,1,1
0.99,0.9,0.92,1,1
0.99,0.9,0.9,1,1
0.99,0.9,0.89,1,1
0.99,0.9,0.87,1,1
0.99,0.9,0.85,1,1
0.99,0.9,0.84,1,1
0.99,0.9,0.33,1,1
0.99,0.89,0.99,1,1
0.99,0.89,0.98,1,1
0.99,0.89,0.97,1,1
0.99,0.89,0.94,1,1
0.99,0.89,0.91,1,1
0.99,0.89,0.9,1,1
0.99,0.89,0.89,1,1
0.99,0.89,0.87,1,1
0.99,0.89,0.85,1,1
0.99,0.89,0.84,1,1
0.99,0.89,0.83,1,1
0.99,0.89,0.82,1,1
0.99,0.89,0.22,1,1
0.99,0.88,0.98,1,1
0.99,0.88,0.97,1,1
0.99,0.88,0.95,1,1
0.99,0.88,0.94,1,1
0.99,0.88,0.91,1,1
0.99,0.88,0.9,1,1
0.99,0.88,0.89,1,1
0.99,0.88,0.88,1,1
0.99,0.88,0.87,1,1
0.99,0.88,0.84,1,1
0.99,0.88,0.83,1,1
0.99,0.88,0.81,1,1
0.99,0.88,0.6,1,1
0.99,0.87,1,1,1
0.99,0.87,0.94,1,1
0.99,0.87,0.93,1,1
0.99,0.87,0.91,1,1
0.99,0.86,1,1,1
0.99,0.86,0.99,1,1
0.99,0.86,0.97,1,1
0.99,0.85,1,1,1
0.99,0.85,0.98,1,1
0.99,0.85,0.97,1,1
0.99,0.83,0.99,1,1
0.99,0.83,0.99,0.75,1
0.99,0.83,0.98,1,1
0.99,0.83,0.97,1,1
0.99,0.83,0.97,0.75,1
0.99,0.83,0.96,1,1
0.99,0.82,1,1,1
0.99,0.82,0.99,1,1
0.99,0.82,0.97,1,1
0.99,0.82,0.96,1,1
0.99,0.82,0.95,1,1
0.99,0.81,0.99,1,1
0.99,0.81,0.98,1,1
0.99,0.81,0.96,1,1
0.99,0.81,0.95,1,1
0.99,0.81,0.94,1,1
0.99,0.81,0.93,1,1
0.99,0.81,0.91,1,1
0.99,0.8,1,1,1
0.99,0.8,0.99,1,1
0.99,0.8,0.98,1,1
0.99,0.8,0.95,1,1
0.99,0.8,0.93,1,1
0.99,0.8,0.92,1,1
0.99,0.79,1,1,1
0.99,0.79,0.99,1,1
0.99,0.79,0.98,1,1
0.99,0.79,0.93,1,1
0.99,0.78,1,1,1
0.99,0.77,1,1,1
0.99,0.76,0.3,1,1
0.99,0.73,1,1,1
0.99,0.7,1,0.75,1
0.99,0.54,1,1,1
0.98,0.97,0.9,1,1
0.98,0.96,0.94,1,1
0.98,0.95,0.79,1,1
0.98,0.94,0.79,1,1
0.98,0.93,1,1,1
0.98,0.92,1,1,1
0.98,0.92,0.97,1,1
0.98,0.91,0.99,1,1
0.98,0.91,0.98,1,1
0.98,0.91,0.96,1,1
0.98,0.89,1,0,1
0.98,0.88,1,1,0
0.98,0.87,1,1,1
0.98,0.86,1,1,1
0.98,0.85,1,1,1
0.98,0.84,1,1,1
0.98,0.75,1,1,0
0.98,0.66,1,1,1
0.97,1,1,1,1
0.97,0.97,1,1,1
0.97,0.95,1,1,1
0.97,0.94,1,1,1
0.97,0.93,1,1,1
0.97,0.92,1,1,1
0.97,0.9,1,1,1
0.97,0.89,0.93,1,1
0.97,0.83,1,1,1
0.97,0.82,1,1,1
0.97,0.74,1,0.5,0
0.96,1,1,1,1
0.96,0.97,1,1,1
0.96,0.97,0.95,1,0
0.96,0.96,1,1,1
0.96,0.96,0.07,1,1
0.96,0.94,1,1,1
0.96,0.93,1,1,0
0.95,1,1,1,1
0.95,0.94,1,1,1
0.95,0.92,1,1,1
0.95,0.85,1,1,1
0.94,1,1,1,1
0.94,0.98,1,0.25,1
0.94,0.94,1,1,1
0.94,0.92,1,1,1
0.94,0.9,1,1,1
0.94,0.89,1,1,1
0.94,0.88,1,1,1
0.94,0.81,1,1,1
0.93,0.98,1,1,1
0.93,0.89,1,1,1
0.92,1,1,1,1
0.92,0.9,1,1,1
0.91,0.95,1,1,1
0.91,0.89,1,1,1
0.91,0.81,1,1,1
0.91,0.56,1,1,1
0.9,1,1,1,1
0.9,0.98,1,0.5,0
0.9,0.95,1,1,1
0.9,0.87,1,0.75,1
0.9,0.84,1,1,0
0.9,0.57,1,1,1
0.89,0.98,0.99,1,1
0.89,0.88,1,0.75,1
0.89,0.72,1,1,1
0.87,0.98,1,1,1
0.87,0.98,0.82,1,1
0.87,0.86,1,1,1
0.85,1,0.5,0,0
0.85,0.55,0.3,1,0
0.84,0.91,0,1,0
0.84,0.79,1,1,1
0.84,0.74,0.3,1,0
0.84,0.68,0.33,0.75,0
0.84,0.41,0.5,1,0
0.83,0.98,1,1,1
0.83,0.89,0.5,0.5,0
0.83,0.83,1,1,0
0.82,0.84,1,1,0
0.82,0.76,1,0.5,0
0.82,0.7,1,1,0
0.82,0.59,1,1,0
0.81,0.8,0,1,0
0.8,0.73,0,1,0
0.8,0.71,0,1,0
0.79,0.97,0,1,0
0.79,0.93,1,1,0
0.79,0.48,1,1,0
0.79,0.47,1,1,0
0.78,0.92,1,0.75,1
0.78,0.56,0.5,1,0
0.77,0.61,1,1,0
0.77,0.54,0.5,0.75,0
0.77,0.48,0.6,1,0
0.77,0.4,0.67,1,0
0.76,0.98,1,1,0
0.76,0.79,0,1,0
0.76,0.75,0,1,0
0.76,0.74,0.95,1,0
0.76,0.67,0.1,1,0
0.76,0.61,1,1,0
0.76,0.56,0.33,1,0
0.76,0.54,0.33,1,0
0.76,0.43,0.67,0.75,0
0.75,0.95,1,1,1
0.75,0.88,1,1,0
0.75,0.67,1,1,0
0.75,0.47,0.25,1,0
0.74,0.81,0,1,0
0.74,0.66,0.5,1,0
0.74,0.63,1,0,0
0.74,0.61,0.75,1,0
0.74,0.56,0.33,1,0
0.74,0.47,0.5,0.5,0
0.73,0.78,0,1,0
0.73,0.71,0.3,1,0
0.73,0.64,0.62,1,0
0.73,0.62,1,0.5,0
0.73,0.59,0.3,1,0
0.73,0.55,0.3,1,0
0.73,0.51,1,1,0
0.73,0.4,1,0.75,0
0.73,0.4,0.33,1,0
0.72,1,1,1,1
0.72,0.86,1,0.5,0
0.72,0.77,0.2,1,0
0.72,0.74,0.5,0.5,0
0.72,0.68,0.8,0.75,0
0.72,0.68,0.67,0.5,0
0.72,0.65,0.33,0.75,0
0.72,0.62,0.2,1,0
0.72,0.61,1,1,0
0.72,0.56,1,0,0
0.72,0.56,0.3,1,0
0.72,0.53,1,1,0
0.72,0.5,0.8,1,0
0.72,0.48,0.97,1,0
0.72,0.47,1,1,0
0.72,0.45,1,0.75,0
0.72,0.44,1,1,0
0.72,0.4,1,0.5,0
0.72,0.39,1,1,0
0.71,0.97,0,1,0
0.71,0.96,1,1,1
0.71,0.9,0.67,1,0
0.71,0.88,0.67,1,0
0.71,0.82,0.5,0.75,0
0.71,0.79,0,1,0
0.71,0.78,0.5,1,0
0.71,0.75,0.3,0.75,0
0.71,0.72,0.33,1,0
0.71,0.71,0.5,1,0
0.71,0.7,1,1,0
0.71,0.54,0.5,0.5,0
0.71,0.52,1,1,0
0.71,0.52,1,0.5,0
0.71,0.51,1,1,0
0.71,0.48,1,1,0
0.71,0.47,1,1,0
0.71,0.44,1,1,0
0.71,0.44,0.67,1,0
0.71,0.43,1,0.75,0
0.71,0.42,1,1,0
0.7,0.89,0,1,0
0.7,0.78,1,1,0
0.7,0.73,1,1,0
0.7,0.73,0.3,1,0
0.7,0.72,1,0,0
0.7,0.66,1,1,0
0.7,0.66,0.3,1,0
0.7,0.62,0.3,0.75,0
0.7,0.58,1,1,0
0.7,0.57,1,0.75,0
0.7,0.55,1,1,0
0.7,0.51,0.89,0.5,0
0.7,0.51,0.67,1,0
0.7,0.5,1,1,0
0.7,0.49,1,1,0
0.7,0.41,0.15,1,0
0.7,0.34,0.5,0.75,0
0.7,0.33,1,1,0
0.69,1,1,1,1
0.69,1,0,1,0
0.69,0.98,0.83,0.75,0
0.69,0.84,0.5,1,0
0.69,0.84,0.17,1,0
0.69,0.79,1,1,0
0.69,0.77,1,1,0
0.69,0.76,0.33,1,0
0.69,0.74,0.33,0.75,0
0.69,0.71,0.5,1,0
0.69,0.71,0.3,1,0
0.69,0.7,1,1,0
0.69,0.68,0.78,0.25,0
0.69,0.61,0.6,1,0
0.69,0.61,0.3,1,0
0.69,0.6,1,1,0
0.69,0.6,0.6,1,0
0.69,0.58,0.3,0.75,0
0.69,0.56,0.81,1,0
0.69,0.55,0.5,1,0
0.69,0.52,0.33,1,0
0.69,0.51,1,1,0
0.69,0.5,0.5,0.75,0
0.69,0.48,0.67,1,0
0.69,0.48,0.67,0.75,0
0.69,0.47,0.33,1,0
0.69,0.45,0.29,1,0
0.69,0.44,1,1,0
0.69,0.43,0.33,1,0
0.69,0.42,1,0,0
0.69,0.41,1,1,0
0.69,0.41,1,0.75,0
0.69,0.41,0.5,1,0
0.69,0.41,0.2,1,0
0.69,0.39,1,1,0
0.69,0.39,0.33,1,0
0.69,0.36,0.22,1,0
0.69,0.35,1,0.75,0
0.69,0.35,0.5,1,0
0.69,0.34,0.07,1,0
0.68,0.98,1,1,1
0.68,0.86,0,1,0
0.68,0.83,0.15,1,0
0.68,0.73,0.33,0.75,0
0.68,0.71,1,1,0
0.68,0.71,0.5,1,0
0.68,0.68,1,1,0
0.68,0.67,0.3,1,0
0.68,0.66,0.71,1,0
0.68,0.64,1,0.25,0
0.68,0.64,0.71,0.5,0
0.68,0.64,0.3,1,0
0.68,0.62,0.2,1,0
0.68,0.61,0.9,1,0
0.68,0.59,1,1,0
0.68,0.59,0.5,1,0
0.68,0.59,0.2,1,0
0.68,0.59,0.1,1,0
0.68,0.58,1,1,0
0.68,0.58,0.5,1,0
0.68,0.54,1,1,0
0.68,0.53,0.75,1,0
0.68,0.53,0.5,0.5,0
0.68,0.47,0.99,1,0
0.68,0.47,0.75,1,0
0.68,0.46,0.3,1,0
0.68,0.45,0.2,1,0
0.68,0.43,1,1,0
0.68,0.39,0.33,0.75,0
0.68,0.36,0.5,0.5,0
0.68,0.35,1,0.5,0
0.67,0.86,0.55,0.75,0
0.67,0.85,0,1,0
0.67,0.83,0.5,1,0
0.67,0.81,0.67,1,0
0.67,0.77,0.67,1,0
0.67,0.74,1,0.75,0
0.67,0.72,1,1,0
0.67,0.72,0.3,1,0
0.67,0.71,1,0.75,0
0.67,0.7,0.5,1,0
0.67,0.69,0.31,1,0
0.67,0.68,0.67,0.5,0
0.67,0.68,0.48,1,0
0.67,0.67,0.5,0.75,0
0.67,0.67,0.3,0.75,0
0.67,0.63,1,0,0
0.67,0.62,1,0.75,0
0.67,0.62,0.5,0.75,0
0.67,0.61,0.25,0.75,0
0.67,0.59,1,0,0
0.67,0.58,0.25,1,0
0.67,0.55,0.6,1,0
0.67,0.55,0.4,1,0
0.67,0.53,0.5,1,0
0.67,0.51,1,1,0
0.67,0.49,1,1,0
0.67,0.49,1,0.75,0
0.67,0.47,0.67,0.75,0
0.67,0.44,0.52,0.75,0
0.67,0.43,1,0.75,0
0.67,0.42,0.71,1,0
0.67,0.41,1,1,0
0.67,0.39,0.6,0.75,0
0.67,0.38,1,0.5,0
0.67,0.38,0.33,1,0
0.67,0.37,0.38,0.75,0
0.67,0.36,1,1,0
0.66,0.95,1,1,1
0.66,0.9,1,1,1
0.66,0.89,0,1,0
0.66,0.88,1,1,0
0.66,0.82,1,0.75,0
0.66,0.78,0.5,0.75,0
0.66,0.69,0.15,1,0
0.66,0.66,0.67,1,0
0.66,0.66,0.5,1,0
0.66,0.65,0.36,1,0
0.66,0.63,0.8,0.25,0
0.66,0.6,0.57,1,0
0.66,0.59,1,1,0
0.66,0.59,0.15,1,0
0.66,0.56,1,1,0
0.66,0.56,0.67,1,0
0.66,0.55,0.12,1,0
0.66,0.54,1,1,0
0.66,0.52,1,1,0
0.66,0.52,1,0.75,0
0.66,0.51,0.33,1,0
0.66,0.5,1,1,0
0.66,0.5,0.8,1,0
0.66,0.49,1,1,0
0.66,0.49,0.6,1,0
0.66,0.49,0.33,1,0
0.66,0.48,1,1,0
0.66,0.48,1,0.25,0
0.66,0.48,0.2,1,0
0.66,0.47,0.75,1,0
0.66,0.47,0.5,1,0
0.66,0.46,1,0.75,0
0.66,0.46,0.33,1,0
0.66,0.46,0.12,1,0
0.66,0.45,0.9,1,0
0.66,0.44,0.14,1,0
0.66,0.43,0.33,1,0
0.66,0.43,0.09,1,0
0.66,0.42,1,1,0
0.66,0.42,1,0.75,0
0.66,0.42,0.6,1,0
0.66,0.42,0.33,0.75,0
0.66,0.42,0.1,1,0
0.66,0.4,0.55,1,0
0.66,0.4,0.25,0.75,0
0.66,0.39,0.75,0.75,0
0.66,0.38,1,1,0
0.66,0.35,1,1,0
0.65,0.97,0.53,0.5,0
0.65,0.92,0.6,1,0
0.65,0.89,1,1,0
0.65,0.82,0.67,1,0
0.65,0.82,0.1,1,0
0.65,0.78,1,1,0
0.65,0.78,0.5,1,0
0.65,0.78,0.2,1,0
0.65,0.71,0.67,1,0
0.65,0.7,0.25,1,0
0.65,0.68,1,0.75,0
0.65,0.68,0.89,0.75,0
0.65,0.66,1,1,0
0.65,0.66,0.5,1,0
0.65,0.62,1,1,0
0.65,0.61,1,1,0
0.65,0.61,0.25,1,0
0.65,0.6,1,1,0
0.65,0.6,1,0,0
0.65,0.59,0.1,1,0
0.65,0.58,0.75,1,0
0.65,0.56,1,1,0
0.65,0.56,0.5,0.5,0
0.65,0.56,0.07,1,0
0.65,0.55,0.57,1,0
0.65,0.53,0.75,1,0
0.65,0.52,0.67,1,0
0.65,0.51,1,1,0
0.65,0.51,1,0.25,0
0.65,0.51,0.33,1,0
0.65,0.5,1,1,0
0.65,0.5,0.64,1,0
0.65,0.49,0.5,1,0
0.65,0.49,0.15,1,0
0.65,0.48,1,1,0
0.65,0.48,0.52,1,0
0.65,0.47,0.52,0.75,0
0.65,0.46,0.5,1,0
0.65,0.45,1,1,0
0.65,0.45,0.91,1,0
0.65,0.45,0.25,0.75,0
0.65,0.44,1,1,0
0.65,0.44,0.01,1,0
0.65,0.43,0.33,0.75,0
0.65,0.43,0.27,0.75,0
0.65,0.42,1,1,0
0.65,0.41,0.5,1,0
0.65,0.41,0.15,1,0
0.65,0.4,0.25,1,0
0.65,0.39,1,1,0
0.65,0.36,1,0.75,0
0.64,0.92,1,1,1
0.64,0.92,0.33,0.75,0
0.64,0.88,0,1,0
0.64,0.77,1,1,0
0.64,0.76,0.5,0.5,0
0.64,0.75,1,1,0
0.64,0.74,0.06,1,0
0.64,0.73,0.6,0.75,0
0.64,0.73,0.38,1,0
0.64,0.7,1,1,0
0.64,0.7,0.15,1,0
0.64,0.66,1,1,0
0.64,0.65,0.33,1,0
0.64,0.62,1,1,0
0.64,0.61,0.67,1,0
0.64,0.6,0.75,1,0
0.64,0.56,0.67,0.5,0
0.64,0.54,0.24,1,0
0.64,0.54,0.22,1,0
0.64,0.53,0.33,0.75,0
0.64,0.52,0.67,1,0
0.64,0.5,1,1,0
0.64,0.5,1,0.75,0
0.64,0.5,1,0.5,0
0.64,0.5,0.84,0.75,0
0.64,0.49,1,1,0
0.64,0.49,0.6,1,0
0.64,0.48,0.67,0.5,0
0.64,0.48,0.5,0.75,0
0.64,0.48,0.15,1,0
0.64,0.47,1,1,0
0.64,0.47,0.5,1,0
0.64,0.47,0.5,0.75,0
0.64,0.47,0.25,1,0
0.64,0.47,0.1,1,0
0.64,0.46,1,1,0
0.64,0.46,0.65,0.75,0
0.64,0.46,0.33,1,0
0.64,0.45,0.5,1,0
0.64,0.45,0.33,0.75,0
0.64,0.45,0.03,1,0
0.64,0.44,0.5,1,0
0.64,0.44,0.4,0.75,0
0.64,0.43,0.5,1,0
0.64,0.43,0.44,1,0
0.64,0.42,0.55,0.75,0
0.64,0.41,0.57,1,0
0.64,0.41,0.4,1,0
0.64,0.39,1,1,0
0.64,0.39,0.5,1,0
0.64,0.39,0.33,1,0
0.64,0.39,0.29,1,0
0.64,0.37,1,1,0
0.64,0.37,1,0.25,0
0.64,0.37,0.5,0.5,0
0.64,0.37,0.11,1,0
0.63,0.96,0,1,0
0.63,0.91,0,1,0
0.63,0.88,1,0.5,0
0.63,0.86,1,1,0
0.63,0.84,0.6,1,0
0.63,0.82,0.5,1,0
0.63,0.77,0.4,1,0
0.63,0.76,1,0.5,0
0.63,0.74,0.25,0.75,0
0.63,0.72,1,1,0
0.63,0.72,0.5,0.5,0
0.63,0.71,1,0,0
0.63,0.71,0.75,1,0
0.63,0.7,0.7,1,0
0.63,0.7,0.5,1,0
0.63,0.7,0.4,1,0
0.63,0.7,0.07,1,0
0.63,0.68,1,1,0
0.63,0.66,0.2,1,0
0.63,0.62,0.11,1,0
0.63,0.6,0.3,0.75,0
0.63,0.59,1,1,0
0.63,0.59,0.3,1,0
0.63,0.58,0.33,1,0
0.63,0.57,0.67,1,0
0.63,0.54,1,0.75,0
0.63,0.54,0.33,0.75,0
0.63,0.54,0.25,1,0
0.63,0.54,0.2,1,0
0.63,0.53,0.67,0.75,0
0.63,0.53,0.15,1,0
0.63,0.52,1,0,0
0.63,0.51,0.6,1,0
0.63,0.5,1,0.25,0
0.63,0.5,0.5,1,0
0.63,0.5,0.2,1,0
0.63,0.49,0.2,1,0
0.63,0.49,0.15,1,0
0.63,0.48,0.5,0.5,0
0.63,0.48,0.33,1,0
0.63,0.48,0.17,1,0
0.63,0.46,0.58,1,0
0.63,0.46,0.5,1,0
0.63,0.45,1,1,0
0.63,0.45,1,0.75,0
0.63,0.45,0.5,1,0
0.63,0.44,0.4,1,0
0.63,0.44,0.3,1,0
0.63,0.43,1,1,0
0.63,0.43,1,0,0
0.63,0.43,0.67,1,0
0.63,0.43,0.2,1,0
0.63,0.43,0.15,1,0
0.63,0.42,0.88,1,0
0.63,0.42,0.67,0.5,0
0.63,0.42,0.57,1,0
0.63,0.42,0.5,1,0
0.63,0.41,1,1,0
0.63,0.41,0.03,1,0
0.63,0.4,1,1,0
0.63,0.4,0.5,1,0
0.63,0.39,1,1,0
0.63,0.38,1,1,0
0.63,0.38,1,0.75,0
0.63,0.37,0.6,1,0
0.62,0.84,0.33,0.75,0
0.62,0.83,1,1,0
0.62,0.77,0.33,0.75,0
0.62,0.75,1,1,0
0.62,0.73,0.5,1,0
0.62,0.73,0.4,1,0
0.62,0.71,0.67,0.75,0
0.62,0.68,0.6,1,0
0.62,0.67,1,1,0
0.62,0.66,0.5,1,0
0.62,0.64,1,0.25,0
0.62,0.64,0.07,1,0
0.62,0.63,1,1,0
0.62,0.61,0.3,1,0
0.62,0.57,0.8,1,0
0.62,0.56,0.5,1,0
0.62,0.56,0.25,1,0
0.62,0.55,1,1,0
0.62,0.55,0.75,0.75,0
0.62,0.55,0.67,1,0
0.62,0.55,0.33,1,0
0.62,0.55,0.18,1,0
0.62,0.54,1,1,0
0.62,0.53,1,1,0
0.62,0.51,1,0.75,0
0.62,0.51,0.89,1,0
0.62,0.51,0.5,0.75,0
0.62,0.5,0.67,0.75,0
0.62,0.5,0.33,0.75,0
0.62,0.5,0.3,1,0
0.62,0.49,0.5,0.75,0
0.62,0.49,0.3,1,0
0.62,0.49,0.18,1,0
0.62,0.47,1,0,0
0.62,0.46,0.33,1,0
0.62,0.45,1,1,0
0.62,0.45,0.75,1,0
0.62,0.45,0.5,0.75,0
0.62,0.44,1,1,0
0.62,0.44,0.33,1,0
0.62,0.44,0.1,1,0
0.62,0.43,1,0.25,0
0.62,0.43,1,0,0
0.62,0.43,0.5,1,0
0.62,0.43,0.4,1,0
0.62,0.42,0.67,1,0
0.62,0.42,0.15,1,0
0.62,0.41,0.6,1,0
0.62,0.41,0.5,1,0
0.62,0.41,0.08,1,0
0.62,0.4,1,0.5,0
0.62,0.4,0.5,1,0
0.62,0.4,0.19,1,0
0.62,0.38,0.6,0.75,0
0.61,0.97,0,1,0
0.61,0.79,1,0.5,0
0.61,0.75,0.6,0.75,0
0.61,0.71,1,0.75,0
0.61,0.69,0.25,0.75,0
0.61,0.68,1,1,0
0.61,0.67,1,0.5,0
0.61,0.67,0.67,1,0
0.61,0.66,0.15,1,0
0.61,0.64,0.33,1,0
0.61,0.64,0.2,1,0
0.61,0.62,0.75,1,0
0.61,0.61,0.92,1,0
0.61,0.61,0.67,1,0
0.61,0.59,1,1,0
0.61,0.59,0.5,1,0
0.61,0.58,1,1,0
0.61,0.58,0.75,1,0
0.61,0.57,0.33,1,0
0.61,0.56,1,0.75,0
0.61,0.56,0.75,0.75,0
0.61,0.56,0.12,1,0
0.61,0.55,0.4,1,0
0.61,0.52,0.5,1,0
0.61,0.51,0.79,1,0
0.61,0.51,0.67,0.5,0
0.61,0.51,0.33,1,0
0.61,0.5,0.29,0.75,0
0.61,0.49,0.6,1,0
0.61,0.49,0.5,1,0
0.61,0.48,1,1,0
0.61,0.48,1,0.25,0
0.61,0.48,0.89,1,0
0.61,0.45,1,1,0
0.61,0.45,1,0.5,0
0.61,0.44,0.75,1,0
0.61,0.44,0.57,1,0
0.61,0.44,0.5,0.75,0
0.61,0.44,0.43,1,0
0.61,0.43,0.9,0.5,0
